regime,tokenReduction,failureReduction,fixedEnergyShare,physicalSavingsFraction,gateEnergyRatio,falseReject,demandMultiplier,completion,waterSavedPerCompletionPct,energySavedPerCompletionPct,totalWaterChangePct,totalEnergyChangePct,waterDemandBreakEven
different verifier site,-0.1,-0.5,0,0,0,0.01,1,0.971065557,-25.71428571428571,-25.714285714285733,23.06130330645162,23.06130330645162,0.8126031279790402
different verifier site,-0.1,-0.5,0,0,0,0.01,1.5,0.971065557,-25.71428571428571,-25.714285714285733,84.59195495967744,84.5919549596774,0.8126031279790402
different verifier site,-0.1,-0.5,0,0,0,0.01,2,0.971065557,-25.71428571428571,-25.714285714285733,146.12260661290324,146.12260661290324,0.8126031279790402
different verifier site,-0.1,-0.5,0,0,0,0.01,3,0.971065557,-25.71428571428571,-25.714285714285733,269.1839099193549,269.1839099193548,0.8126031279790402
illustrative wet,-0.1,-0.5,0,0,0,0.1,1,0.949347,-25.71428571428569,-25.71428571428569,20.308951612903204,20.308951612903225,0.8311933456269511
illustrative wet,-0.1,-0.5,0,0,0,0.1,1.5,0.949347,-25.71428571428569,-25.71428571428569,80.46342741935484,80.46342741935479,0.8311933456269511
illustrative wet,-0.1,-0.5,0,0,0,0.1,2,0.949347,-25.71428571428569,-25.71428571428569,140.6179032258064,140.61790322580646,0.8311933456269511
illustrative wet,-0.1,-0.5,0,0,0,0.1,3,0.949347,-25.71428571428569,-25.71428571428569,260.9268548387097,260.9268548387096,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0,0,0.1,1,0.949347,-25.71428571428569,-25.71428571428569,20.308951612903204,20.308951612903204,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0,0,0.1,1.5,0.949347,-25.71428571428569,-25.71428571428569,80.46342741935482,80.46342741935482,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0,0,0.1,2,0.949347,-25.71428571428569,-25.71428571428569,140.6179032258064,140.6179032258064,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0,0,0.1,3,0.949347,-25.71428571428569,-25.71428571428569,260.92685483870963,260.92685483870963,0.8311933456269511
different verifier site,-0.1,-0.5,0,0,0,0.1,1,0.949347,-25.71428571428569,-25.71428571428569,20.308951612903204,20.308951612903204,0.8311933456269511
different verifier site,-0.1,-0.5,0,0,0,0.1,1.5,0.949347,-25.71428571428569,-25.71428571428569,80.46342741935482,80.46342741935482,0.8311933456269511
different verifier site,-0.1,-0.5,0,0,0,0.1,2,0.949347,-25.71428571428569,-25.71428571428569,140.6179032258064,140.6179032258064,0.8311933456269511
different verifier site,-0.1,-0.5,0,0,0,0.1,3,0.949347,-25.71428571428569,-25.71428571428569,260.92685483870963,260.92685483870963,0.8311933456269511
illustrative wet,-0.1,-0.5,0,0,0.02,0,1,0.973,-27.99999999999998,-27.99999999999998,25.54838709677416,25.548387096774185,0.7965056526207607
illustrative wet,-0.1,-0.5,0,0,0.02,0,1.5,0.973,-27.99999999999998,-27.99999999999998,88.32258064516125,88.32258064516128,0.7965056526207607
illustrative wet,-0.1,-0.5,0,0,0.02,0,2,0.973,-27.99999999999998,-27.99999999999998,151.09677419354833,151.09677419354836,0.7965056526207607
illustrative wet,-0.1,-0.5,0,0,0.02,0,3,0.973,-27.99999999999998,-27.99999999999998,276.6451612903225,276.64516129032256,0.7965056526207607
illustrative dry,-0.1,-0.5,0,0,0.02,0,1,0.973,-27.99999999999998,-27.99999999999998,25.54838709677416,25.54838709677416,0.7965056526207607
illustrative dry,-0.1,-0.5,0,0,0.02,0,1.5,0.973,-27.99999999999998,-27.99999999999998,88.32258064516125,88.32258064516125,0.7965056526207607
illustrative dry,-0.1,-0.5,0,0,0.02,0,2,0.973,-27.99999999999998,-27.99999999999998,151.09677419354833,151.09677419354833,0.7965056526207607
illustrative dry,-0.1,-0.5,0,0,0.02,0,3,0.973,-27.99999999999998,-27.99999999999998,276.6451612903225,276.6451612903225,0.7965056526207607
different verifier site,-0.1,-0.5,0,0,0.02,0,1,0.973,-97.55102040816324,-27.673469387755077,93.76728110599075,25.228110599078324,0.5160830013675011
different verifier site,-0.1,-0.5,0,0,0.02,0,1.5,0.973,-97.55102040816324,-27.673469387755077,190.65092165898614,87.84216589861747,0.5160830013675011
different verifier site,-0.1,-0.5,0,0,0.02,0,2,0.973,-97.55102040816324,-27.673469387755077,287.5345622119815,150.45622119815664,0.5160830013675011
different verifier site,-0.1,-0.5,0,0,0.02,0,3,0.973,-97.55102040816324,-27.673469387755077,481.30184331797227,275.6843317972349,0.5160830013675011
illustrative wet,-0.1,-0.5,0,0,0.02,0.01,1,0.971065557,-28.023088023088015,-28.02308802308804,25.321382338709665,25.321382338709686,0.7979484277449729
illustrative wet,-0.1,-0.5,0,0,0.02,0.01,1.5,0.971065557,-28.023088023088015,-28.02308802308804,87.9820735080645,87.98207350806453,0.7979484277449729
illustrative wet,-0.1,-0.5,0,0,0.02,0.01,2,0.971065557,-28.023088023088015,-28.02308802308804,150.64276467741934,150.64276467741936,0.7979484277449729
illustrative wet,-0.1,-0.5,0,0,0.02,0.01,3,0.971065557,-28.023088023088015,-28.02308802308804,275.964147016129,275.96414701612906,0.7979484277449729
illustrative dry,-0.1,-0.5,0,0,0.02,0.01,1,0.971065557,-28.02308802308804,-28.02308802308804,25.321382338709665,25.321382338709665,0.7979484277449729
illustrative dry,-0.1,-0.5,0,0,0.02,0.01,1.5,0.971065557,-28.02308802308804,-28.02308802308804,87.98207350806453,87.98207350806453,0.7979484277449729
illustrative dry,-0.1,-0.5,0,0,0.02,0.01,2,0.971065557,-28.02308802308804,-28.02308802308804,150.64276467741934,150.64276467741934,0.7979484277449729
illustrative dry,-0.1,-0.5,0,0,0.02,0.01,3,0.971065557,-28.02308802308804,-28.02308802308804,275.96414701612906,275.96414701612906,0.7979484277449729
different verifier site,-0.1,-0.5,0,0,0.02,0.01,1,0.971065557,-98.27664399092974,-27.69325912183056,94.0923586059908,24.99851390552994,0.5152186346655763
different verifier site,-0.1,-0.5,0,0,0.02,0.01,1.5,0.971065557,-98.27664399092974,-27.69325912183056,191.13853790898622,87.49777085829491,0.5152186346655763
different verifier site,-0.1,-0.5,0,0,0.02,0.01,2,0.971065557,-98.27664399092974,-27.69325912183056,288.1847172119816,149.99702781105987,0.5152186346655763
different verifier site,-0.1,-0.5,0,0,0.02,0.01,3,0.971065557,-98.27664399092974,-27.69325912183056,482.27707581797245,274.9955417165898,0.5152186346655763
illustrative wet,-0.1,-0.5,0,0,0.02,0.1,1,0.949347,-28.253968253968242,-28.253968253968242,22.739435483870963,22.739435483870963,0.8147340714561204
illustrative wet,-0.1,-0.5,0,0,0.02,0.1,1.5,0.949347,-28.253968253968242,-28.253968253968242,84.10915322580645,84.10915322580644,0.8147340714561204
illustrative wet,-0.1,-0.5,0,0,0.02,0.1,2,0.949347,-28.253968253968242,-28.253968253968242,145.47887096774193,145.47887096774193,0.8147340714561204
illustrative wet,-0.1,-0.5,0,0,0.02,0.1,3,0.949347,-28.253968253968242,-28.253968253968242,268.21830645161293,268.2183064516129,0.8147340714561204
illustrative dry,-0.1,-0.5,0,0,0.02,0.1,1,0.949347,-28.253968253968242,-28.253968253968242,22.739435483870942,22.739435483870942,0.8147340714561205
illustrative dry,-0.1,-0.5,0,0,0.02,0.1,1.5,0.949347,-28.253968253968242,-28.253968253968242,84.10915322580641,84.10915322580641,0.8147340714561205
illustrative dry,-0.1,-0.5,0,0,0.02,0.1,2,0.949347,-28.253968253968242,-28.253968253968242,145.47887096774187,145.47887096774187,0.8147340714561205
illustrative dry,-0.1,-0.5,0,0,0.02,0.1,3,0.949347,-28.253968253968242,-28.253968253968242,268.2183064516128,268.2183064516128,0.8147340714561205
different verifier site,-0.1,-0.5,0,0,0.02,0.1,1,0.949347,-105.53287981859407,-27.89115646258502,96.69558755760367,22.39222350230414,0.50839981334464
different verifier site,-0.1,-0.5,0,0,0.02,0.1,1.5,0.949347,-105.53287981859407,-27.89115646258502,195.0433813364055,83.5883352534562,0.50839981334464
different verifier site,-0.1,-0.5,0,0,0.02,0.1,2,0.949347,-105.53287981859407,-27.89115646258502,293.3911751152074,144.7844470046083,0.50839981334464
different verifier site,-0.1,-0.5,0,0,0.02,0.1,3,0.949347,-105.53287981859407,-27.89115646258502,490.086762672811,267.1766705069124,0.50839981334464
illustrative wet,-0.1,-0.5,0,0,0.1,0,1,0.973,-37.142857142857146,-37.142857142857125,34.51612903225807,34.51612903225805,0.7434052757793765
illustrative wet,-0.1,-0.5,0,0,0.1,0,1.5,0.973,-37.142857142857146,-37.142857142857125,101.77419354838707,101.77419354838707,0.7434052757793765
illustrative wet,-0.1,-0.5,0,0,0.1,0,2,0.973,-37.142857142857146,-37.142857142857125,169.03225806451613,169.0322580645161,0.7434052757793765
illustrative wet,-0.1,-0.5,0,0,0.1,0,3,0.973,-37.142857142857146,-37.142857142857125,303.54838709677415,303.54838709677415,0.7434052757793765
illustrative dry,-0.1,-0.5,0,0,0.1,0,1,0.973,-37.142857142857125,-37.142857142857125,34.51612903225802,34.51612903225802,0.7434052757793767
illustrative dry,-0.1,-0.5,0,0,0.1,0,1.5,0.973,-37.142857142857125,-37.142857142857125,101.77419354838703,101.77419354838703,0.7434052757793767
illustrative dry,-0.1,-0.5,0,0,0.1,0,2,0.973,-37.142857142857125,-37.142857142857125,169.03225806451604,169.03225806451604,0.7434052757793767
illustrative dry,-0.1,-0.5,0,0,0.1,0,3,0.973,-37.142857142857125,-37.142857142857125,303.5483870967741,303.5483870967741,0.7434052757793767
different verifier site,-0.1,-0.5,0,0,0.1,0,1,0.973,-384.8979591836735,-35.51020408163264,375.61059907834095,32.91474654377875,0.21025603759416708
different verifier site,-0.1,-0.5,0,0,0.1,0,1.5,0.973,-384.8979591836735,-35.51020408163264,613.4158986175115,99.37211981566814,0.21025603759416708
different verifier site,-0.1,-0.5,0,0,0.1,0,2,0.973,-384.8979591836735,-35.51020408163264,851.2211981566819,165.8294930875575,0.21025603759416708
different verifier site,-0.1,-0.5,0,0,0.1,0,3,0.973,-384.8979591836735,-35.51020408163264,1326.831797235023,298.74423963133626,0.21025603759416708
illustrative wet,-0.1,-0.5,0,0,0.1,0.01,1,0.971065557,-37.258297258297254,-37.258297258297254,34.36169846774195,34.36169846774193,0.7442597194021656
illustrative wet,-0.1,-0.5,0,0,0.1,0.01,1.5,0.971065557,-37.258297258297254,-37.258297258297254,101.54254770161289,101.54254770161289,0.7442597194021656
illustrative wet,-0.1,-0.5,0,0,0.1,0.01,2,0.971065557,-37.258297258297254,-37.258297258297254,168.7233969354839,168.72339693548386,0.7442597194021656
illustrative wet,-0.1,-0.5,0,0,0.1,0.01,3,0.971065557,-37.258297258297254,-37.258297258297254,303.08509540322575,303.08509540322575,0.7442597194021656
illustrative dry,-0.1,-0.5,0,0,0.1,0.01,1,0.971065557,-37.258297258297276,-37.258297258297276,34.36169846774193,34.36169846774193,0.7442597194021656
illustrative dry,-0.1,-0.5,0,0,0.1,0.01,1.5,0.971065557,-37.258297258297276,-37.258297258297276,101.54254770161289,101.54254770161289,0.7442597194021656
illustrative dry,-0.1,-0.5,0,0,0.1,0.01,2,0.971065557,-37.258297258297276,-37.258297258297276,168.72339693548386,168.72339693548386,0.7442597194021656
illustrative dry,-0.1,-0.5,0,0,0.1,0.01,3,0.971065557,-37.258297258297276,-37.258297258297276,303.08509540322575,303.08509540322575,0.7442597194021656
different verifier site,-0.1,-0.5,0,0,0.1,0.01,1,0.971065557,-388.5260770975058,-35.60915275200991,378.21657980414756,32.74735630184333,0.20911027392850906
different verifier site,-0.1,-0.5,0,0,0.1,0.01,1.5,0.971065557,-388.5260770975058,-35.60915275200991,617.3248697062212,99.12103445276499,0.20911027392850906
different verifier site,-0.1,-0.5,0,0,0.1,0.01,2,0.971065557,-388.5260770975058,-35.60915275200991,856.4331596082951,165.49471260368668,0.20911027392850906
different verifier site,-0.1,-0.5,0,0,0.1,0.01,3,0.971065557,-388.5260770975058,-35.60915275200991,1334.6497394124424,298.24206890553,0.20911027392850906
illustrative wet,-0.1,-0.5,0,0,0.1,0.1,1,0.949347,-38.41269841269836,-38.41269841269839,32.46137096774191,32.46137096774191,0.7549370753859465
illustrative wet,-0.1,-0.5,0,0,0.1,0.1,1.5,0.949347,-38.41269841269836,-38.41269841269839,98.69205645161287,98.69205645161286,0.7549370753859465
illustrative wet,-0.1,-0.5,0,0,0.1,0.1,2,0.949347,-38.41269841269836,-38.41269841269839,164.92274193548383,164.92274193548383,0.7549370753859465
illustrative wet,-0.1,-0.5,0,0,0.1,0.1,3,0.949347,-38.41269841269836,-38.41269841269839,297.38411290322574,297.3841129032257,0.7549370753859465
illustrative dry,-0.1,-0.5,0,0,0.1,0.1,1,0.949347,-38.41269841269839,-38.41269841269839,32.46137096774191,32.46137096774191,0.7549370753859465
illustrative dry,-0.1,-0.5,0,0,0.1,0.1,1.5,0.949347,-38.41269841269839,-38.41269841269839,98.69205645161286,98.69205645161286,0.7549370753859465
illustrative dry,-0.1,-0.5,0,0,0.1,0.1,2,0.949347,-38.41269841269839,-38.41269841269839,164.92274193548383,164.92274193548383,0.7549370753859465
illustrative dry,-0.1,-0.5,0,0,0.1,0.1,3,0.949347,-38.41269841269839,-38.41269841269839,297.3841129032257,297.3841129032257,0.7549370753859465
different verifier site,-0.1,-0.5,0,0,0.1,0.1,1,0.949347,-424.8072562358276,-36.5986394557823,402.2421313364055,30.72531105990781,0.19910715123383238
different verifier site,-0.1,-0.5,0,0,0.1,0.1,1.5,0.949347,-424.8072562358276,-36.5986394557823,653.3631970046082,96.08796658986172,0.19910715123383238
different verifier site,-0.1,-0.5,0,0,0.1,0.1,2,0.949347,-424.8072562358276,-36.5986394557823,904.484262672811,161.45062211981562,0.19910715123383238
different verifier site,-0.1,-0.5,0,0,0.1,0.1,3,0.949347,-424.8072562358276,-36.5986394557823,1406.7263940092164,292.1759331797234,0.19910715123383238
illustrative wet,-0.1,-0.5,0,0,0.25,0,1,0.973,-54.28571428571425,-54.28571428571427,51.33064516129029,51.33064516129031,0.6608046895816682
illustrative wet,-0.1,-0.5,0,0,0.25,0,1.5,0.973,-54.28571428571425,-54.28571428571427,126.99596774193544,126.99596774193544,0.6608046895816682
illustrative wet,-0.1,-0.5,0,0,0.25,0,2,0.973,-54.28571428571425,-54.28571428571427,202.66129032258058,202.6612903225806,0.6608046895816682
illustrative wet,-0.1,-0.5,0,0,0.25,0,3,0.973,-54.28571428571425,-54.28571428571427,353.99193548387086,353.99193548387086,0.6608046895816682
illustrative dry,-0.1,-0.5,0,0,0.25,0,1,0.973,-54.28571428571427,-54.28571428571427,51.33064516129029,51.33064516129029,0.6608046895816682
illustrative dry,-0.1,-0.5,0,0,0.25,0,1.5,0.973,-54.28571428571427,-54.28571428571427,126.99596774193544,126.99596774193544,0.6608046895816682
illustrative dry,-0.1,-0.5,0,0,0.25,0,2,0.973,-54.28571428571427,-54.28571428571427,202.66129032258058,202.66129032258058,0.6608046895816682
illustrative dry,-0.1,-0.5,0,0,0.25,0,3,0.973,-54.28571428571427,-54.28571428571427,353.99193548387086,353.99193548387086,0.6608046895816682
different verifier site,-0.1,-0.5,0,0,0.25,0,1,0.973,-923.673469387755,-50.20408163265304,904.0668202764977,47.327188940092135,0.09959496517618442
different verifier site,-0.1,-0.5,0,0,0.25,0,1.5,0.973,-923.673469387755,-50.20408163265304,1406.1002304147462,120.99078341013816,0.09959496517618442
different verifier site,-0.1,-0.5,0,0,0.25,0,2,0.973,-923.673469387755,-50.20408163265304,1908.1336405529953,194.65437788018426,0.09959496517618442
different verifier site,-0.1,-0.5,0,0,0.25,0,3,0.973,-923.673469387755,-50.20408163265304,2912.2004608294924,341.9815668202763,0.09959496517618442
illustrative wet,-0.1,-0.5,0,0,0.25,0.01,1,0.971065557,-54.57431457431456,-54.57431457431456,51.31229120967744,51.31229120967742,0.6608848441890776
illustrative wet,-0.1,-0.5,0,0,0.25,0.01,1.5,0.971065557,-54.57431457431456,-54.57431457431456,126.96843681451612,126.96843681451612,0.6608848441890776
illustrative wet,-0.1,-0.5,0,0,0.25,0.01,2,0.971065557,-54.57431457431456,-54.57431457431456,202.62458241935488,202.62458241935485,0.6608848441890776
illustrative wet,-0.1,-0.5,0,0,0.25,0.01,3,0.971065557,-54.57431457431456,-54.57431457431456,353.9368736290323,353.9368736290323,0.6608848441890776
illustrative dry,-0.1,-0.5,0,0,0.25,0.01,1,0.971065557,-54.574314574314606,-54.574314574314606,51.31229120967742,51.31229120967742,0.6608848441890776
illustrative dry,-0.1,-0.5,0,0,0.25,0.01,1.5,0.971065557,-54.574314574314606,-54.574314574314606,126.96843681451612,126.96843681451612,0.6608848441890776
illustrative dry,-0.1,-0.5,0,0,0.25,0.01,2,0.971065557,-54.574314574314606,-54.574314574314606,202.62458241935485,202.62458241935485,0.6608848441890776
illustrative dry,-0.1,-0.5,0,0,0.25,0.01,3,0.971065557,-54.574314574314606,-54.574314574314606,353.9368736290323,353.9368736290323,0.6608848441890776
different verifier site,-0.1,-0.5,0,0,0.25,0.01,1,0.971065557,-932.7437641723357,-50.45145330859619,910.9494945506914,47.27643579493088,0.0989169098347927
different verifier site,-0.1,-0.5,0,0,0.25,0.01,1.5,0.971065557,-932.7437641723357,-50.45145330859619,1416.424241826037,120.91465369239631,0.0989169098347927
different verifier site,-0.1,-0.5,0,0,0.25,0.01,2,0.971065557,-932.7437641723357,-50.45145330859619,1921.8989891013828,194.55287158986175,0.0989169098347927
different verifier site,-0.1,-0.5,0,0,0.25,0.01,3,0.971065557,-932.7437641723357,-50.45145330859619,2932.848483652074,341.8293073847926,0.0989169098347927
illustrative wet,-0.1,-0.5,0,0,0.25,0.1,1,0.949347,-57.46031746031741,-57.46031746031741,50.68999999999997,50.68999999999999,0.6636140420731304
illustrative wet,-0.1,-0.5,0,0,0.25,0.1,1.5,0.949347,-57.46031746031741,-57.46031746031741,126.03499999999994,126.03499999999994,0.6636140420731304
illustrative wet,-0.1,-0.5,0,0,0.25,0.1,2,0.949347,-57.46031746031741,-57.46031746031741,201.37999999999994,201.38,0.6636140420731304
illustrative wet,-0.1,-0.5,0,0,0.25,0.1,3,0.949347,-57.46031746031741,-57.46031746031741,352.0699999999999,352.0699999999999,0.6636140420731304
illustrative dry,-0.1,-0.5,0,0,0.25,0.1,1,0.949347,-57.460317460317434,-57.460317460317434,50.68999999999997,50.68999999999997,0.6636140420731304
illustrative dry,-0.1,-0.5,0,0,0.25,0.1,1.5,0.949347,-57.460317460317434,-57.460317460317434,126.03499999999994,126.03499999999994,0.6636140420731304
illustrative dry,-0.1,-0.5,0,0,0.25,0.1,2,0.949347,-57.460317460317434,-57.460317460317434,201.37999999999994,201.37999999999994,0.6636140420731304
illustrative dry,-0.1,-0.5,0,0,0.25,0.1,3,0.949347,-57.460317460317434,-57.460317460317434,352.0699999999999,352.0699999999999,0.6636140420731304
different verifier site,-0.1,-0.5,0,0,0.25,0.1,1,0.949347,-1023.4467120181405,-52.92517006802719,975.1419009216588,46.34985023041474,0.09301097828507623
different verifier site,-0.1,-0.5,0,0,0.25,0.1,1.5,0.949347,-1023.4467120181405,-52.92517006802719,1512.7128513824882,119.52477534562212,0.09301097828507623
different verifier site,-0.1,-0.5,0,0,0.25,0.1,2,0.949347,-1023.4467120181405,-52.92517006802719,2050.2838018433176,192.69970046082946,0.09301097828507623
different verifier site,-0.1,-0.5,0,0,0.25,0.1,3,0.949347,-1023.4467120181405,-52.92517006802719,3125.4257027649764,339.04955069124424,0.09301097828507623
illustrative wet,-0.1,-0.5,0,0.5,0,0,1,0.973,-25.71428571428569,-25.71428571428569,23.30645161290321,23.30645161290321,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0.5,0,0,1.5,0.973,-25.71428571428569,-25.71428571428569,84.95967741935482,84.95967741935479,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0.5,0,0,2,0.973,-25.71428571428569,-25.71428571428569,146.61290322580643,146.61290322580643,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0.5,0,0,3,0.973,-25.71428571428569,-25.71428571428569,269.91935483870964,269.9193548387096,0.8109875735775017
illustrative dry,-0.1,-0.5,0,0.5,0,0,1,0.973,-25.71428571428571,-25.71428571428571,23.30645161290319,23.30645161290319,0.8109875735775018
illustrative dry,-0.1,-0.5,0,0.5,0,0,1.5,0.973,-25.71428571428571,-25.71428571428571,84.95967741935479,84.95967741935479,0.8109875735775018
illustrative dry,-0.1,-0.5,0,0.5,0,0,2,0.973,-25.71428571428571,-25.71428571428571,146.61290322580638,146.61290322580638,0.8109875735775018
illustrative dry,-0.1,-0.5,0,0.5,0,0,3,0.973,-25.71428571428571,-25.71428571428571,269.9193548387096,269.9193548387096,0.8109875735775018
different verifier site,-0.1,-0.5,0,0.5,0,0,1,0.973,-25.71428571428571,-25.71428571428571,23.30645161290321,23.30645161290319,0.8109875735775017
different verifier site,-0.1,-0.5,0,0.5,0,0,1.5,0.973,-25.71428571428571,-25.71428571428571,84.95967741935485,84.95967741935479,0.8109875735775017
different verifier site,-0.1,-0.5,0,0.5,0,0,2,0.973,-25.71428571428571,-25.71428571428571,146.61290322580643,146.61290322580638,0.8109875735775017
different verifier site,-0.1,-0.5,0,0.5,0,0,3,0.973,-25.71428571428571,-25.71428571428571,269.9193548387097,269.9193548387096,0.8109875735775017
illustrative wet,-0.1,-0.5,0,0.5,0,0.01,1,0.971065557,-25.71428571428571,-25.71428571428571,23.06130330645162,23.06130330645162,0.8126031279790403
illustrative wet,-0.1,-0.5,0,0.5,0,0.01,1.5,0.971065557,-25.71428571428571,-25.71428571428571,84.59195495967742,84.59195495967742,0.8126031279790403
illustrative wet,-0.1,-0.5,0,0.5,0,0.01,2,0.971065557,-25.71428571428571,-25.71428571428571,146.12260661290324,146.12260661290324,0.8126031279790403
illustrative wet,-0.1,-0.5,0,0.5,0,0.01,3,0.971065557,-25.71428571428571,-25.71428571428571,269.18390991935485,269.18390991935485,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0.5,0,0.01,1,0.971065557,-25.714285714285733,-25.714285714285733,23.06130330645162,23.06130330645162,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0.5,0,0.01,1.5,0.971065557,-25.714285714285733,-25.714285714285733,84.5919549596774,84.5919549596774,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0.5,0,0.01,2,0.971065557,-25.714285714285733,-25.714285714285733,146.12260661290324,146.12260661290324,0.8126031279790403
illustrative dry,-0.1,-0.5,0,0.5,0,0.01,3,0.971065557,-25.714285714285733,-25.714285714285733,269.1839099193548,269.1839099193548,0.8126031279790403
different verifier site,-0.1,-0.5,0,0.5,0,0.01,1,0.971065557,-25.71428571428571,-25.714285714285733,23.06130330645162,23.06130330645162,0.8126031279790402
different verifier site,-0.1,-0.5,0,0.5,0,0.01,1.5,0.971065557,-25.71428571428571,-25.714285714285733,84.59195495967744,84.5919549596774,0.8126031279790402
different verifier site,-0.1,-0.5,0,0.5,0,0.01,2,0.971065557,-25.71428571428571,-25.714285714285733,146.12260661290324,146.12260661290324,0.8126031279790402
different verifier site,-0.1,-0.5,0,0.5,0,0.01,3,0.971065557,-25.71428571428571,-25.714285714285733,269.1839099193549,269.1839099193548,0.8126031279790402
illustrative wet,-0.1,-0.5,0,0.5,0,0.1,1,0.949347,-25.71428571428569,-25.71428571428569,20.308951612903204,20.308951612903225,0.8311933456269511
illustrative wet,-0.1,-0.5,0,0.5,0,0.1,1.5,0.949347,-25.71428571428569,-25.71428571428569,80.46342741935484,80.46342741935479,0.8311933456269511
illustrative wet,-0.1,-0.5,0,0.5,0,0.1,2,0.949347,-25.71428571428569,-25.71428571428569,140.6179032258064,140.61790322580646,0.8311933456269511
illustrative wet,-0.1,-0.5,0,0.5,0,0.1,3,0.949347,-25.71428571428569,-25.71428571428569,260.9268548387097,260.9268548387096,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0.5,0,0.1,1,0.949347,-25.71428571428569,-25.71428571428569,20.308951612903204,20.308951612903204,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0.5,0,0.1,1.5,0.949347,-25.71428571428569,-25.71428571428569,80.46342741935482,80.46342741935482,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0.5,0,0.1,2,0.949347,-25.71428571428569,-25.71428571428569,140.6179032258064,140.6179032258064,0.8311933456269511
illustrative dry,-0.1,-0.5,0,0.5,0,0.1,3,0.949347,-25.71428571428569,-25.71428571428569,260.92685483870963,260.92685483870963,0.8311933456269511
